time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-19 00:00:00+00:00,4,4,36,11
2023-12-20 00:00:00+00:00,3,3,33,8
2023-12-21 00:00:00+00:00,3,3,41,15
2023-12-22 00:00:00+00:00,4,4,21,9
2023-12-23 00:00:00+00:00,2,2,63,16
2023-12-24 00:00:00+00:00,2,2,7,6
2023-12-25 00:00:00+00:00,5,5,21,10
2023-12-26 00:00:00+00:00,3,3,11,7
2023-12-27 00:00:00+00:00,2,2,44,7
2023-12-28 00:00:00+00:00,3,3,41,11
2023-12-29 00:00:00+00:00,2,2,33,11
2023-12-30 00:00:00+00:00,2,2,26,9
2023-12-31 00:00:00+00:00,3,3,25,10
2024-01-01 00:00:00+00:00,3,2,18,3
